datetime,X Wind Speed (m/s),Y Wind Speed (m/s),Z Wind Speed (m/s),Temperature (deg C),Horizontal wind speed,Wind direction
2019-11-04 10:31:00,-0.5960135824013161,0.2119453138322369,0.07268667763157872,6.477613486842109,0.6325764826977808,109.57563259770143
2019-11-04 10:32:00,-0.797910012333334,0.2898108342174999,-0.039121875083333355,6.181565000000004,0.8489114838495381,109.96165071803604
2019-11-04 10:33:00,-0.8072245954166651,0.39705875252499967,-0.07525458364416657,6.024106666666664,0.8995927969933438,116.19171418189487
2019-11-04 10:34:00,-0.4631695877833332,0.7180271069999986,-0.0353233336833333,6.08335250000001,0.8544524524127544,147.17561134718702
2019-11-04 10:35:00,-0.48773458866666686,0.7403366916666656,-0.06137916700249999,5.925961666666673,0.8865570743103831,146.62306617468704
2019-11-04 10:36:00,-0.22295583345000017,0.6037566805333333,0.05171104146583337,6.165555000000002,0.6436081361807149,159.73177296315328
2019-11-04 10:37:00,-0.4513910495500003,0.8832298153333323,0.05268083347333332,6.155702500000005,0.9918915194251855,152.92984975160465
2019-11-04 10:38:00,-0.459506046916667,0.7641371085833326,-0.01704562522666666,5.9516458333333375,0.8916565077803661,148.97983256446133
2019-11-04 10:39:00,-0.4728416719166664,0.6717556446666664,0.004336666560000002,6.064117500000001,0.821483349096302,144.85869204119888
2019-11-04 10:40:00,-0.46594063049999923,0.7603423161666685,0.033300208416666685,6.083761666666664,0.8917517081028951,148.4998761964494
2019-11-04 10:41:00,-0.44950646174999975,0.8096758631666661,-0.011013958277500022,5.95351999999999,0.9260837232937904,150.96234892525356
2019-11-04 10:42:00,-0.5419314693416674,0.985992310833332,-0.0040693750999999945,6.001006666666666,1.125109130033737,151.20546175288848
2019-11-04 10:43:00,-0.12888812552749998,1.0521825126666668,-0.0029087503625000143,6.046594166666666,1.0600472578444478,173.01628959793177
2019-11-04 10:44:00,-0.019201666919166614,0.6085133490000011,-0.02265979157500002,6.171988333333336,0.608816228367536,178.19262874298155
2019-11-04 10:45:00,0.18650897388063428,0.45415318231218765,0.021393155333889823,6.394971619365613,0.4909589701210217,202.32668885519462
2019-11-04 10:46:00,-0.08383020852749999,0.8801133595833345,0.022024375024999997,6.331245000000001,0.8840967308947748,174.55903000597422
2019-11-04 10:47:00,-0.22123021058333356,0.720900649250002,-0.08356229191083316,6.3411449999999965,0.7540825897498367,162.9397813659948
2019-11-04 10:48:00,-0.04162270856833329,0.5704364732500004,-0.05328104229083334,6.216979999999993,0.5719529874757739,175.82672777802983
2019-11-04 10:49:00,-0.045919584475000004,0.6171531420166658,0.10490333351666672,6.502763333333324,0.6188591188141285,175.74472031654716
2019-11-04 10:50:00,-0.5735379314008326,0.4514279244333331,0.0951116664666666,6.433363333333335,0.7298855593267572,128.206050311747
2019-11-04 10:51:00,-0.39255563265833343,0.4804137557499998,-0.01204854180666667,6.247839166666651,0.6204009199264656,140.7470584565978
2019-11-04 10:52:00,-0.4348406293499996,0.4981302168333335,0.004702291781666654,6.361110833333339,0.6612261987065603,138.8808063243399
2019-11-04 10:53:00,-0.3330750013333332,0.2357622919166669,0.044443750084999956,6.500979166666678,0.4080720705990543,125.29221304567969
2019-11-04 10:54:00,-0.2005762513916666,0.20219562523333348,0.11402770858249991,6.633757500000003,0.28480502714283623,135.2303606384243
2019-11-04 10:55:00,-0.3552562516574999,0.8686321075000004,-0.009213750058333364,6.4650566666666665,0.9384714926526161,157.75624541615358
2019-11-04 10:56:00,-0.21169125037416658,0.7665471072500009,-0.0413827084141667,6.4719483333333345,0.7952406259229482,164.5618656720984
2019-11-04 10:57:00,-0.20420395909999997,0.6523748086666672,0.0076093749633333405,6.59265333333333,0.6835877031478734,162.61902852712987
2019-11-04 10:58:00,-0.16720895923333357,0.8818012739166682,0.026244166718333357,6.7003466666666665,0.8975145250796521,169.2629351710906
2019-11-04 10:59:00,-0.35842521240083336,0.6729837622666676,0.1112462505075,6.726356666666668,0.7624800175474641,151.9606290694292
2019-11-04 11:00:00,-0.7285893987500008,0.7811183551666661,0.018790416465833338,6.487189166666666,1.0681705841059121,136.99275246368975
2019-11-04 11:01:00,-0.6093239718333338,0.7034198128333343,-0.07154708366833336,6.579773333333343,0.9306315789490665,139.09987826335444
2019-11-04 11:02:00,-0.5147966767500001,0.7882848169999999,-0.07942604191916672,6.649825000000012,0.94149273555645,146.85308421963822
2019-11-04 11:03:00,-0.5493823024999999,0.637662513583334,-0.041843125285000025,6.771895833333335,0.8416854492799654,139.25324224070198
2019-11-04 11:04:00,-0.4337525054666664,0.34506208458333365,0.0950697916158334,6.972357500000009,0.5542644479087633,128.50321682055366
2019-11-04 11:05:00,-0.4041616703166661,0.12606812555833333,0.032922916872499944,7.001628333333339,0.4233672496012761,107.3240052616022
2019-11-04 11:06:00,-0.7498537754999994,0.3367404188833335,0.009351041842499986,6.728048333333337,0.821994400431856,114.18364587465086
2019-11-04 11:07:00,-0.6134531398333333,0.43263979499999966,-0.020155416664166637,6.642016666666662,0.7506676674727751,125.19352653034574
2019-11-04 11:08:00,-0.7603804415833336,0.5194095916666664,-0.008005000137500006,6.633432499999998,0.9208500094248784,124.33665983638218
2019-11-04 11:09:00,-0.444011049541667,0.19783500017416686,-0.020435833932499908,6.844442499999985,0.4860910402476117,114.01599525790446
2019-11-04 11:10:00,-0.1931408337708332,0.37511041890833347,0.021135208200833335,7.029564999999988,0.4219137447906598,152.75648636131444
2019-11-04 11:11:00,-0.3477916687408333,0.08419645835666689,-0.012481041384166674,7.150785833333329,0.35783807573445764,103.60883939179138
